track_number,filename,topic_prefix,learning_band,title,pairs_with
25,cc-12-code-review.mp3,cc,challenge,Challenge 12: Review Like a Pro,ch-12-git-source-control.mp3
26,ch-13-github-prs-extension.mp3,ch,chapter,Chapter 13: The GitHub Pull Requests Extension,
27,cc-13-copilot-as-collaborator.mp3,cc,challenge,Challenge 13: AI as Your Copilot,ch-13-github-prs-extension.mp3
28,ch-14-github-copilot.mp3,ch,chapter,Chapter 14: GitHub Copilot,
29,cc-14-design-an-issue-template.mp3,cc,challenge,Challenge 14: Template Remix,ch-14-github-copilot.mp3
30,ch-15-accessible-code-review.mp3,ch,chapter,Chapter 15: Accessible Code Review,
31,cc-15-discover-accessibility-agents.mp3,cc,challenge,Challenge 15: Meet the Agents,ch-15-accessible-code-review.mp3
32,ch-16-issue-templates.mp3,ch,chapter,Chapter 16: Issue Templates,
33,cc-16-build-your-own-agent.mp3,cc,challenge,Challenge 16: Build Your Agent (Capstone),ch-16-issue-templates.mp3
34,ch-17-accessibility-agents.mp3,ch,chapter,Chapter 17: Accessibility Agents,
35,ch-18-how-git-works.mp3,ch,chapter,Chapter 18: How Git Works: The Mental Model,
36,ch-19-fork-and-contribute.mp3,ch,chapter,Chapter 19: Fork and Contribute,
37,ch-20-build-your-agent-capstone.mp3,ch,chapter,Chapter 20: Build Your Agent: Capstone,
38,ch-21-contributing-to-open-source.mp3,ch,chapter,Chapter 21: Contributing to Open Source,
39,ch-22-what-comes-next.mp3,ch,chapter,Chapter 22: What Comes Next,
40,cc-bonus-a-improve-agent.mp3,cc-bonus,bonus,Bonus A: Improve an Agent,
41,cc-bonus-b-document-your-journey.mp3,cc-bonus,bonus,Bonus B: Document Your Journey,
42,cc-bonus-c-group-challenge.mp3,cc-bonus,bonus,Bonus C: Group Challenge,
43,cc-bonus-d-notifications.mp3,cc-bonus,bonus,Bonus D: Notifications,
44,cc-bonus-e-git-history.mp3,cc-bonus,bonus,Bonus E: Git History,
45,ref-01-glossary.mp3,ref,ref,Reference 01: Glossary of Terms,
46,ref-02-screen-reader-cheatsheet.mp3,ref,ref,Reference 02: Screen Reader Cheat Sheet,
47,ref-03-accessibility-standards.mp3,ref,ref,Reference 03: Accessibility Standards Reference,
48,ref-04-resources.mp3,ref,ref,Reference 04: Resources and Links,
49,ref-05-accessing-workshop-materials.mp3,ref,ref,Reference 05: Accessing Workshop Materials,
50,ref-06-github-skills-catalog.mp3,ref,ref,Reference 06: GitHub Skills - Complete Course Catalog,
51,git-01-git-authentication.mp3,git,git,Git Toolkit 01: Git Authentication,
52,git-02-advanced-git-operations.mp3,git,git,Git Toolkit 02: Advanced Git Operations,
53,git-03-git-security-for-contributors.mp3,git,git,Git Toolkit 03: Git Security for Contributors,
54,git-04-github-desktop.mp3,git,git,Git Toolkit 04: GitHub Desktop,
55,git-05-github-cli-reference.mp3,git,git,Git Toolkit 05: GitHub CLI Reference,
56,tools-01-github-flavored-markdown.mp3,tools,tools,Tooling 01: GitHub Flavored Markdown,
57,tools-02-github-gists.mp3,tools,tools,Tooling 02: GitHub Gists,
58,tools-03-github-discussions.mp3,tools,tools,Tooling 03: GitHub Discussions,
59,tools-04-releases-tags-insights.mp3,tools,tools,"Tooling 04: Releases, Tags, and Insights",
60,tools-05-github-projects.mp3,tools,tools,Tooling 05: GitHub Projects Deep Dive,
61,tools-06-advanced-search.mp3,tools,tools,Tooling 06: Advanced Search,
62,tools-07-github-codespaces.mp3,tools,tools,Tooling 07: GitHub Codespaces,
63,tools-08-github-mobile.mp3,tools,tools,Tooling 08: GitHub Mobile,
64,tools-09-github-pages.mp3,tools,tools,Tooling 09: Publishing with GitHub Pages,
65,tools-10-github-actions.mp3,tools,tools,Tooling 10: GitHub Actions and Workflows,
66,tools-11-profile-sponsors-wikis.mp3,tools,tools,"Tooling 11: Profile, Sponsors, and Wikis",
67,tools-12-organizations-templates.mp3,tools,tools,Tooling 12: Organizations and Templates,
68,agents-01-accessibility-agents-reference.mp3,agents,agents,Agents 01: Accessibility Agents - Complete Reference,
69,agents-02-copilot-reference.mp3,agents,agents,Agents 02: Copilot Reference,
70,agents-03-copilot-models.mp3,agents,agents,Agents 03: Copilot Billing and Models,
71,agents-04-choose-your-tools.mp3,agents,agents,Agents 04: Choose Your Tools,
72,agents-05-agent-installation-setup.mp3,agents,agents,Agents 05: Agent Installation and Setup,
73,agents-06-advanced-agent-patterns.mp3,agents,agents,Agents 06: Advanced Agent Patterns,
74,sec-01-branch-protection.mp3,sec,sec,Security 01: Branch Protection and Rulesets,
75,sec-02-security-features.mp3,sec,sec,Security 02: GitHub Security Features,
76,a11y-01-vscode-accessibility-reference.mp3,a11y,a11y,Accessibility 01: VS Code Accessibility Reference,
77,a11y-02-vscode-accessibility-deep-dive.mp3,a11y,a11y,Accessibility 02: VS Code Accessibility Deep Dive,
78,a11y-03-github-accessibility-and-open-source.mp3,a11y,a11y,Accessibility 03: GitHub Accessibility and Open Source at Scale,
79,a11y-04-document-developer-tools.mp3,a11y,a11y,Accessibility 04: Document Developer Tools,
